sample,fastq_1,fastq_2
HT01,https://raw.githubusercontent.com/rujinlong/test/main/data/HT01_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/HT01_R2.fq.gz
HT02,https://raw.githubusercontent.com/rujinlong/test/main/data/HT02_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/HT02_R2.fq.gz
HT04,https://raw.githubusercontent.com/rujinlong/test/main/data/HT04_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/HT04_R2.fq.gz
HT05,https://raw.githubusercontent.com/rujinlong/test/main/data/HT05_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/HT05_R2.fq.gz
HT23,https://raw.githubusercontent.com/rujinlong/test/main/data/HT23_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/HT23_R2.fq.gz
HT24,https://raw.githubusercontent.com/rujinlong/test/main/data/HT24_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/HT24_R2.fq.gz
UC20,https://raw.githubusercontent.com/rujinlong/test/main/data/UC20_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/UC20_R2.fq.gz
UC21,https://raw.githubusercontent.com/rujinlong/test/main/data/UC21_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/UC21_R2.fq.gz
UC24,https://raw.githubusercontent.com/rujinlong/test/main/data/UC24_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/UC24_R2.fq.gz
UC26,https://raw.githubusercontent.com/rujinlong/test/main/data/UC26_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/UC26_R2.fq.gz
UC28,https://raw.githubusercontent.com/rujinlong/test/main/data/UC28_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/UC28_R2.fq.gz
UC29,https://raw.githubusercontent.com/rujinlong/test/main/data/UC29_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/UC29_R2.fq.gz
UC30,https://raw.githubusercontent.com/rujinlong/test/main/data/UC30_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/UC30_R2.fq.gz
UC31,https://raw.githubusercontent.com/rujinlong/test/main/data/UC31_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/UC31_R2.fq.gz
UC32,https://raw.githubusercontent.com/rujinlong/test/main/data/UC32_R1.fq.gz,https://raw.githubusercontent.com/rujinlong/test/main/data/UC32_R2.fq.gz
